"organizationId","organizationName","siteId","siteName","deviceId","deviceName","deviceUserFriendlyId","deviceTimeZoneId","latitude","longitude","serviceSubscriptionId","particulateId","displayName","scientificName","isBeta","warningConcentrationThreshold","dangerConcentrationThreshold","maximumConcentrationThreshold","tapeScanId","samplingStartTime","samplingEndTime","count","concentration"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76052","2025-10-25T10:00:01Z","2025-10-25T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76506","2025-10-26T10:00:01Z","2025-10-26T16:00:14Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76502","2025-10-27T10:00:19Z","2025-10-27T16:00:13Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76498","2025-10-28T10:00:01Z","2025-10-28T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76650","2025-10-29T10:00:01Z","2025-10-29T16:00:10Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76799","2025-10-30T10:00:01Z","2025-10-30T16:00:12Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6734","15","General Rust","Puccinia spp.","False","25","50","200","76934","2025-10-31T10:00:01Z","2025-10-31T16:00:11Z","0","0"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","72950","2025-10-02T15:19:44Z","2025-10-02T15:20:07Z","1","1304,3478"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73089","2025-10-03T10:00:01Z","2025-10-03T16:00:13Z","18","24,986118"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73219","2025-10-04T10:00:01Z","2025-10-04T16:00:12Z","49","68,02091"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73348","2025-10-05T10:00:01Z","2025-10-05T16:00:10Z","28","38,872692"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73486","2025-10-06T10:00:01Z","2025-10-06T16:00:13Z","21","29,150473"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73615","2025-10-07T10:00:02Z","2025-10-07T16:00:12Z","20","27,764923"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73745","2025-10-08T10:00:01Z","2025-10-08T16:00:14Z","35","48,58187"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73869","2025-10-09T10:00:02Z","2025-10-09T16:00:11Z","20","27,766209"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","73991","2025-10-10T10:00:01Z","2025-10-10T16:00:12Z","25","34,704548"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74119","2025-10-11T10:00:01Z","2025-10-11T16:00:11Z","26","36,094402"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74247","2025-10-12T10:00:01Z","2025-10-12T16:00:10Z","28","38,872692"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74389","2025-10-13T10:00:01Z","2025-10-13T16:00:13Z","21","29,150473"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74517","2025-10-14T10:00:01Z","2025-10-14T16:00:11Z","21","29,15317"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74650","2025-10-15T10:00:01Z","2025-10-15T16:00:11Z","46","63,859325"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74774","2025-10-16T10:00:01Z","2025-10-16T16:00:16Z","63","87,43928"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","74908","2025-10-17T10:00:01Z","2025-10-17T16:00:12Z","30","41,64546"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75044","2025-10-18T10:00:01Z","2025-10-18T16:00:10Z","99","137,44273"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75331","2025-10-19T10:00:18Z","2025-10-19T16:00:12Z","15","20,839123"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75326","2025-10-20T10:00:01Z","2025-10-20T16:00:12Z","55","76,350006"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75623","2025-10-21T10:00:19Z","2025-10-21T16:00:11Z","27","37,513893"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75613","2025-10-22T10:00:01Z","2025-10-22T16:00:12Z","85","117,99547"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75761","2025-10-23T10:00:01Z","2025-10-23T16:00:11Z","68","94,40074"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","75908","2025-10-24T10:00:01Z","2025-10-24T16:00:11Z","66","91,624245"
"83","OneAgro","146","OneAgro - Fazenda Alvorada","357","SS-A-001-101A-0064","Fazenda Alvorada","America/Campo_Grande","-12,341189","-57,291473","6758","57","Target Spot","Corynespora spp.","False","50","200","400","76052","2025-10-25T10:00:01Z","2025-10-25T16:00:12Z","28","38,869095"
